,feat,score
0,PAXBP1,0.016354658951853507
1,IQCC,0.013196880195386902
2,NUP188,0.0047139200986161724
3,LRP2BP,0.000653525929211246
4,PLCE1,0.0004313335309565842
5,RDH13,0.003382701440991454
6,FNDC9,0.007844331560903613
7,BAP1,0.006014310920076098
8,RNF167,0.01702123607643329
9,TRIM17,0.0034873505951697496
10,KCNH3,0.007255012154998492
11,DDX58,0.012490487896698599
12,FARP2,0.005099624579081464
13,PLXNC1,0.019396336296640306
14,LOC100132356,0.002483947570465419
15,UBE2D4,0.005207696825280012
16,BORA,0.003801033420598375
17,BCL9,0.005365245235672263
18,TSSK4,0.0039189830535007845
19,SPTBN2,0.003660365349315439
20,DOPEY1,0.0024344600108293837
21,FAR2,0.002207275689177113
22,TSSK3,0.017750679268402424
23,EML5,0.00214831066832097
24,SRPK3,0.003270899543250766
25,PAPSS2,0.010734334057647555
26,FMNL2,0.006982011894687794
27,RAD9A,0.002855757293971597
28,MYRIP,0.002106344803038711
29,KCNT1,0.005844988564443365
30,CEMIP,0.014024572887604073
31,BYSL,0.006194651276241813
32,LRRC8B,0.0013498713044288785
33,ZNF233,0.0039344576774810605
34,ZHX3,0.004110748848915822
35,SEMA6A,0.01982223217075555
36,LCAT,0.014130883991206102
37,MTHFD2,0.002905127007880774
38,WHSC1L1,0.0027830554185653417
39,LRRN2,0.0197474924874526
40,SCN8A,0.008805997002323339
41,LOC100996251,0.00019500216959134314
42,FAM193B,0.0014443625315895623
43,PCDH12,0.001820344486649736
44,TOMM34,0.0009157107900909029
45,TEAD2,0.006199091016268724
46,NOP16,0.01520570926150685
47,VTN,0.005007848658141717
48,CASP8,0.002103664739592852
49,MICAL1,0.0006122754916472146
50,TOMM70A,0.0022008565919038356
51,RNASEH2C,0.004018221060554128
52,LOC100506469,0.01168022575533959
53,CCDC28B,0.006180711780012543
54,GPT,0.008078816427714616
55,NIF3L1,0.004053050320220317
56,WDR5B,0.013414655796308003
57,METTL12,0.004174440570064265
58,FBXL16,0.0020211137342671364
59,MIR1282,0.003280187686476154
60,GFM2,0.0022304869697435353
61,FUCA2,0.0019160351815962773
62,SYTL1,0.0006759248711334534
63,RHOF,0.01091310293085758
64,TIMM17B,0.003413441101826467
65,TUB,0.008007038787081895
66,TBC1D10C,0.0114695974080315
67,PEX5L,0.003653319210388445
68,JPH3,0.007214808176991746
69,SSBP3,0.0010442806632296742
70,SLC24A1,0.004365131680701869
71,DGKQ,0.0036248051217036836
72,DPY19L2P2,0.004332204561914719
73,NAALAD2,0.0010021487805547196
74,VPS52,0.0074287794165528755
75,TRAF3IP2,0.007278357145912037
76,SNX22,0.005438316902344079
77,CASKIN1,0.01591220359944352
78,ORM2,0.017907614201526922
79,PODXL,0.0069537224820760924
80,PPP1R16A,0.025468050595069222
81,NCOR1,0.005622559286367511
82,CROCCP3,0.009516294560416867
83,EIF4ENIF1,0.0022009508005191134
84,PPAPDC1B,0.0019327948114014654
85,CISD2,0.00702459865142838
86,H1FNT,0.0021891181947044126
87,SNX11,0.002856536612985568
88,COA7,0.008228028749475718
89,LOC101928943,0.013251117449538632
90,SLFNL1,0.03543726097062147
91,RPS6KA2,0.00966307084352606
92,LOC101927211,0.01925303451395992
93,MRPS7,0.007018371604855178
94,SIK2,0.012000887136039076
95,ZNF397,0.005584620588049823
96,ARPC3,0.0036754904724062764
97,MXRA8,0.019989756252819943
98,PRR3,0.005613185096691131
99,C15orf40,0.011131216136193141
100,ZNF213,0.005093265293964816
101,ACAT1,0.0009816436715249749
102,PRH2,0.021673125690046507
103,ZNF154,0.005177633167723963
104,PROC,0.0076995686744601236
105,NUTM2G,0.003285951760023435
106,ZNF24,0.006856384702456938
107,LOC100506083,0.013902823956746828
108,PFKP,0.00547060612152102
109,LOC101929010,0.012016537004422265
110,MIR497HG,0.006797949387147646
111,SLC1A4,0.004237785752654133
112,PDZK1,0.0005112221500991101
113,ERMAP,0.004771116490668766
114,FAM86A,0.006635764816309123
115,TMPRSS6,0.002556299456172477
116,SLC34A3,0.008078050770036812
117,SH3BP5,0.014260165492570332
118,LSR,0.012691542621860124
119,NSUN5P2,0.009839119256989546
120,THBS4,0.02367492107982466
121,RGL4,0.039695029227194895
122,ABTB2,0.005227521366586705
123,CLECL1,0.002695947445899719
124,ZBED4,0.002460983573768093
125,CABP7,0.009270873610678566
126,SNED1,0.0016402004051906316
127,GDF9,0.008880336447232538
128,DISP2,0.012949945669130977
