"","feat","score"
"255","USP34",0.0230913935699417
"161","NR2C2",0.0173081110328681
"122","LHX4",0.0170177669250512
"109","HSPB9",0.0160805259485785
"187","PSMD5",0.0154421120369405
"74","FAM13A",0.0151784920700535
"224","SPRN",0.0146400001522534
"56","DCDC2B",0.0127919755089333
"149","MMP19",0.0125447819828595
"167","OXR1",0.0122900620918225
"251","TYW1",0.0111163022416166
"247","TSC1",0.010249782239154
"9","ANXA6",0.00986976382090946
"260","WARS2",0.00898477553422094
"203","RPUSD3",0.00874847495033801
"174","PGM3",0.00865602972687581
"47","CNTRL",0.00864144080737817
"107","HEXIM1",0.00853732934330685
"277","ZNF878",0.0078635895162719
"205","RUFY3",0.00783130603119477
"76","FAM184B",0.00775524004292439
"158","NDUFAF2",0.00752102483517177
"84","FOXP3",0.00738616026270419
"33","CACNB2",0.00704318920106396
"29","C1orf146",0.00694486415086734
"27","C17orf53",0.00684297700006482
"114","JAM3",0.00676309053635416
"124","LOC100379224",0.00658656739383569
"142","MCC",0.00648056658755461
"250","TXLNA",0.00644033596299989
"166","OSGEPL1",0.00632671274923591
"162","NREP",0.0062567211068183
"234","TM6SF1",0.00619763948050309
"249","TUBB1",0.00615604951403906
"197","RNF113A",0.00614451629469165
"206","RUSC1",0.00607277376802706
"193","RBM4B",0.00587728392025472
"86","FXR2",0.00584910208134254
"126","LOC101241902",0.00584650883527473
"266","ZNF506",0.00581616997244526
"151","MROH6",0.00577100781533521
"225","STX17",0.00568371674386745
"96","GPR155",0.00566584201535594
"7","AMPH",0.0055594104459897
"133","LOC102724246",0.00546517660649457
"230","TCF7L1",0.0054627480737966
"186","PRPF38A",0.00542275731792869
"245","TRAF1",0.00537987966739408
"256","UTP14A",0.00537067044374398
"272","ZNF790",0.00536296664091965
"178","PP7080",0.00527953616713816
"218","SLC26A2",0.00526975101476812
"25","C11orf80",0.00525432315931801
"202","RPRD1A",0.00517568623007009
"169","PCCA",0.00514551640930906
"229","TBC1D8",0.00513409925137292
"221","SNX21",0.00510160252273458
"49","COL4A4",0.00503565164973447
"258","VN1R1",0.00496831977205141
"196","RHOQ",0.00494853502217153
"177","POLR2J4",0.00494489447943642
"123","LOC100129148",0.00488941134746768
"63","DOT1L",0.00487440760897329
"180","PPM1N",0.00485415566926419
"232","TFPT",0.00477397396617328
"125","LOC100996385",0.00474732200707282
"157","NDUFA2",0.00472695749108862
"189","PTPN14",0.00471049930287882
"14","ATAD5",0.00470016729783554
"19","BAD",0.0046380141969994
"98","GRTP1",0.00462873535420011
"117","KMT2C",0.00459771483869526
"93","GOLGA8H",0.00456649247129615
"276","ZNF865",0.00447942717511302
"243","TNK1",0.00442115744764583
"127","LOC101927275",0.00437061373539895
"40","CD160",0.00436477970701187
"52","CREB1",0.00435203494086506
"262","ZC3H8",0.00434481217373641
"252","UBE2E1",0.00432566235171659
"62","DNAJC17",0.00427890526844302
"35","CAMK1",0.00426783693356373
"41","CD48",0.00418202419994189
"26","C12orf73",0.00414816568790016
"116","KDELR3",0.00414214570253149
"87","GALNS",0.00410466087091828
"211","SENCR",0.00405586551493582
"159","NFE2L3",0.00401201047111426
"168","PARD6G",0.00397621957203126
"130","LOC101929767",0.00393675742348473
"226","TAC4",0.00388353992248684
"267","ZNF544",0.00387756506546948
"237","TMEM217",0.00387446420335878
"38","CCDC181",0.00382679478321204
"43","CERS5",0.00382274274872246
"171","PCP4L1",0.00373717984746779
"192","RASGEF1A",0.00372683712315809
"118","LARS",0.00372631176407271
"141","MASP2",0.00369306453328443
"156","MYO5B",0.00368371018875962
"42","CD72",0.00362620816391527
"46","CLEC2B",0.00357978626896002
"155","MYO19",0.00357327856010306
"223","SPDYE5",0.00356857104196676
"48","COA5",0.00354256940298304
"115","JPX",0.00353006178062257
"103","GZF1",0.00340748775633499
"80","FDPS",0.00336025616802771
"67","EFR3B",0.00335064080499666
"136","LRP11",0.00333302371088445
"65","DRG1",0.00332502250835833
"61","DNAH1",0.00330079164847262
"200","RNF39",0.00328072332221563
"97","GPR18",0.00322966940445991
"233","THADA",0.00322838837685343
"222","SPAG4",0.003226593620856
"45","CLASRP",0.00322305118068245
"6","ALS2CR12",0.00319985980192204
"145","METTL25",0.0031734920892984
"58","DDX56",0.00316914860004301
"53","CRLF3",0.00316717924593484
"102","GUCY1B2",0.0031610751114732
"15","ATG14",0.00312966424677255
"17","ATP5H",0.00307838051628972
"185","PRPF3",0.00307540508585961
"204","RRP7A",0.0030599792399786
"163","NT5C2",0.0030497398655779
"270","ZNF57",0.00298512946438491
"3","AKT1",0.00290207353260679
"10","AQP11",0.00289808164859154
"150","MPL",0.00286911728465335
"69","EML4",0.00284243249521799
"2","AKAP5",0.00283035848367822
"275","ZNF83",0.00282734534313358
"13","ARHGEF26",0.00278370701533261
